Exporter,Importer,Shipments,Distance,Area_exporter,Area_importer,Population_exporter,Population_importer,GDP_exporter,GDP_importer,Intrastate_or_not,Share_Border,BorderxArea_exporter,BorderxArea_importer,BorderxPop_exporter,BorderxPop_importer,BorderxDist,sum_LL,Borderxsum_LL,Lat_ex,Long_ex,Lat_im,Long_im,LL_ex,LL_im,num_FAF_ex,num_FAF_im,remoteness_ex,remoteness_im,SCTG
16.0,4.0,4.0,11.002586687686893,214050000000.0,294361000000.0,1939033.0,7359197.0,69766407340.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,44.26668842,-114.4612026,33.67825359,-111.4708913,1.0,1.0,1.0,3.0,26.571052736864967,25.018609812195567,3.0
4.0,19.0,5.0,19.84748795533747,294361000000.0,144660000000.0,7359197.0,3200517.0,293035865343.0,124554520089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,42.02990262,-93.4660937,1.0,1.0,3.0,1.0,25.018609812195567,16.209381226558154,3.0
19.0,4.0,5.0,19.84748795533747,144660000000.0,294361000000.0,3200517.0,7359197.0,124554520089.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,42.02990262,-93.4660937,33.67825359,-111.4708913,1.0,1.0,1.0,3.0,16.209381226558154,25.018609812195567,3.0
4.0,20.0,5.0,14.22257761908086,294361000000.0,211754000000.0,7359197.0,2937150.0,293035865343.0,111373790850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,38.48536567,-98.08532491,1.0,1.0,3.0,3.0,25.018609812195567,17.082248338214743,3.0
20.0,4.0,5.0,14.22257761908086,211754000000.0,294361000000.0,2937150.0,7359197.0,111373790850.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.48536567,-98.08532491,33.67825359,-111.4708913,1.0,1.0,3.0,3.0,17.082248338214743,25.018609812195567,3.0
4.0,22.0,4.0,19.822567442152064,294361000000.0,111914000000.0,7359197.0,4590241.0,293035865343.0,147672643211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.67825359,-111.4708913,31.0806972,-91.81925318,1.0,0.0,3.0,4.0,25.018609812195567,17.88009549830889,3.0
22.0,4.0,4.0,19.822567442152064,111914000000.0,294361000000.0,4590241.0,7359197.0,147672643211.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0806972,-91.81925318,33.67825359,-111.4708913,0.0,1.0,4.0,3.0,17.88009549830889,25.018609812195567,3.0
4.0,26.0,1.0,28.245581854499502,294361000000.0,146615000000.0,7359197.0,10034118.0,293035865343.0,382811635818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,44.04901725,-85.19808872,1.0,1.0,3.0,3.0,25.018609812195567,17.01071464423954,4.0
26.0,4.0,1.0,28.245581854499502,146615000000.0,294361000000.0,10034118.0,7359197.0,382811635818.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,44.04901725,-85.19808872,33.67825359,-111.4708913,1.0,1.0,3.0,3.0,17.01071464423954,25.018609812195567,4.0
4.0,27.0,32.0,20.76510734426968,294361000000.0,206232000000.0,7359197.0,5717184.0,293035865343.0,257393340864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,45.54670036,-94.4318287,1.0,1.0,3.0,2.0,25.018609812195567,17.499573988722897,3.0
27.0,4.0,32.0,20.76510734426968,206232000000.0,294361000000.0,5717184.0,7359197.0,257393340864.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,45.54670036,-94.4318287,33.67825359,-111.4708913,1.0,1.0,2.0,3.0,17.499573988722897,25.018609812195567,3.0
4.0,29.0,2.0,19.580485441231257,294361000000.0,178053000000.0,7359197.0,6177957.0,293035865343.0,226360344480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,38.45001591,-92.480744,1.0,1.0,3.0,3.0,25.018609812195567,15.754454007112106,3.0
29.0,4.0,2.0,19.580485441231257,178053000000.0,294361000000.0,6177957.0,7359197.0,226360344480.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.45001591,-92.480744,33.67825359,-111.4708913,1.0,1.0,3.0,3.0,15.754454007112106,25.018609812195567,3.0
4.0,31.0,2.0,14.595914211241366,294361000000.0,198957000000.0,7359197.0,1967923.0,293035865343.0,76743093231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,41.32123795,-99.03604101,1.0,1.0,3.0,2.0,25.018609812195567,17.515895874182647,3.0
