Program,Year,Period,Week Ending,Geo Level,State_name,State,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),Value_analysis
CENSUS,2013,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),"7,052",,7052
CENSUS,2013,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"14,658",,14658
CENSUS,2013,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND), (D),,
CENSUS,2013,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),310,,310
CENSUS,2013,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"3,251",,3251
CENSUS,2013,YEAR,,STATE,MISSOURI,29,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"8,625",,8625
CENSUS,2013,YEAR,,STATE,MISSOURI,29,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),187,,187
CENSUS,2013,YEAR,,STATE,MISSOURI,29,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"2,084",,2084
CENSUS,2013,YEAR,,STATE,MONTANA,30,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"1,161",,1161
CENSUS,2013,YEAR,,STATE,MONTANA,30,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),"102,981",,102981
CENSUS,2013,YEAR,,STATE,MONTANA,30,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"6,481",,6481
CENSUS,2013,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"101,383",,101383
CENSUS,2013,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),"5,969",,5969
CENSUS,2013,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"2,006",,2006
CENSUS,2013,YEAR,,STATE,NEVADA,32,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"5,790",,5790
CENSUS,2013,YEAR,,STATE,NEVADA,32,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),"2,291",,2291
CENSUS,2013,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),297,,297
CENSUS,2013,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),139,,139
CENSUS,2013,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),315,,315
